Time,bit-x,bitfinex,bitflyer,bithumb,bitstamp,coinbase,gemini,hitbtc,kraken,others
2018-06-14 00:00:00 UTC,3681.7693,32584.7235029802,15744.7774324398,7526.1017948,16112.79964441,16904.4730582199,5311.9646876292,9663.28999999991,16336.5695808698,14498.028523423527
2018-06-15 00:00:00 UTC,3829.49,21284.89795278,10407.7333831799,4653.8988053,8178.08349307,8253.08646464,3320.68940030081,9592.78999999992,10043.63095206,9825.597664406558
2018-06-16 00:00:00 UTC,3953.8676,13696.37483969,6394.98566186998,2756.71651578,4203.27098002,5044.32338675,1742.5597382308,8037.13999999996,5269.03137826,5891.636755330158
2018-06-17 00:00:00 UTC,3889.4875,9433.09892553998,4471.46885544,1855.32591594,3273.7493476,3981.4037776,691.970709837,9251.17999999993,3472.49051715999,4805.631868828609
2018-06-18 00:00:00 UTC,3830.4142,25646.7897097002,10216.9594925899,3827.4054877,7151.17157729,9142.44088531,2336.2678976574,8449.91999999994,8950.97392445994,7895.470943953118
2018-06-19 00:00:00 UTC,4065.4033,17374.99981691,6332.03898194996,4552.19132153,6439.06227508999,7454.65803032998,1455.5470867611,9091.92999999995,8080.47781691994,7952.797934653219
2018-06-20 00:00:00 UTC,3369.0316,18710.7426663401,7597.73639401993,5040.08679849001,6142.66374676999,7343.76135828997,2285.3398446214,9149.28999999996,8275.95956169998,8243.597258713757
2018-06-21 00:00:00 UTC,3579.587,10648.38335813,6877.06924425998,1577.30305879,5724.97875284,5000.82661313,1162.1158048812,7606.15999999999,5266.83779039999,6825.946920535288
2018-06-22 00:00:00 UTC,3388.9726,54945.7032796805,18441.8154421398,4605.71665132,21228.22866724,20162.02955215,5772.04962727859,9789.29999999994,22902.74911903,16598.08844711901
2018-06-23 00:00:00 UTC,4443.0293,20597.0491921399,6634.00482957998,2350.95213275,5252.5736864,6948.62364776999,1025.597926552,7624.40999999997,7157.75643951999,7635.935030557069
2018-06-24 00:00:00 UTC,5153.7755,45463.7140949103,10211.2196469699,3565.51292052,13882.1653445,14728.4471264699,2849.4213940181,9463.41999999995,18227.00991841,12523.127425989867
2018-06-25 00:00:00 UTC,5152.4465,27904.9011156201,7045.77552007993,2599.62520395,11119.69779179,10856.6368568689,2697.7566492128,8109.40999999997,10584.15531888,12460.442417609795
2018-06-26 00:00:00 UTC,5070.5833,18513.12937237,5003.17767362999,1832.39438068,8862.58130676,7347.24673851997,2142.2364492076,9138.73999999997,9133.48161463,10790.99828009522
2018-06-27 00:00:00 UTC,4943.9933,18189.64635293,5667.48454675999,1750.16150691,8543.7744427,7940.63848417999,2465.2583146647,8099.81999999997,8039.87369883995,9836.959901852666
2018-06-28 00:00:00 UTC,4946.1186,17788.10770448,4949.13067655998,2761.51013507,9816.26639530999,9453.88010630999,1971.7100386306,8387.94999999997,7501.94538426,9509.665211083931
2018-06-29 00:00:00 UTC,5061.4328,32866.3321823103,7613.92115341992,3427.82490436,13675.39312027,12877.7707294,4887.4261451725,9383.00999999996,10510.53453782,13284.996291954147
2018-06-30 00:00:00 UTC,5499.8219,23866.4428102301,7167.64099237996,3363.67343345,7903.45193501,7293.20115231995,1981.4503176817,7885.10999999996,7485.91673495999,10479.449580949587
2018-07-01 00:00:00 UTC,5066.942,11224.58370325,3774.65276413999,4825.65969399,5173.68741533,4652.22046938001,1839.4940818562,8231.22999999996,4102.77034166999,4797.240581260025
2018-07-02 00:00:00 UTC,5094.7991,26408.0999748001,6896.50872532999,4913.45499815,10456.57252831,9751.6856638101,4595.1294424795,7418.96999999996,7621.85949128999,7848.972328290449
2018-07-03 00:00:00 UTC,5098.3411,17259.09948441,5211.83368055998,6090.45996744,7562.05466251,7650.81133990998,4316.2398206654,9022.34999999995,6037.53783277,6432.358357318813
2018-07-04 00:00:00 UTC,5507.153,22192.4199196101,7680.31379651995,4655.95630014,7733.9720911,7944.66219240997,4430.8966372819,8237.25999999995,7709.75490171999,7336.998350178712
2018-07-05 00:00:00 UTC,5165.7313,23079.4249723,8671.40018700994,4234.7342159,8609.91385841,7803.79494552018,5533.2735843646,7473.43999999997,7412.72636073,7752.289083744106
2018-07-06 00:00:00 UTC,5184.9628,14851.9231677099,4752.54608822,5149.79732074999,6199.53581456,6173.59197523996,3419.8724823643,8093.72999999997,4927.68280794,6101.255278684022
2018-07-07 00:00:00 UTC,4931.4539,14846.6618772201,4430.09897123997,5301.56611376,5279.21392634,5057.57888765996,2417.4305948013,8255.00999999997,4310.28133738999,5571.450672228628
2018-07-08 00:00:00 UTC,5176.4289,13344.85714672,3604.38565261999,4380.40948265,5810.09821286,3901.73910437999,1966.1173588681,6464.49999999998,3905.56121493,4638.540937800245
2018-07-09 00:00:00 UTC,5119.5051,16264.50029558,4247.86914588998,3348.76571737,8033.92353299,6345.23707694998,2748.7626968474,8248.07999999997,5030.27592772,6313.374464840356
2018-07-10 00:00:00 UTC,5061.1649,27844.4205557801,6877.20509119995,3587.42850186,10483.93319583,9932.99992511995,5598.93877717492,8032.07999999995,10025.76037688,8119.347819546125
2018-07-11 00:00:00 UTC,5073.8089,16395.1262113399,5259.74957035999,2685.79923091,7209.69207166,6181.18813399999,3416.3790372528,7875.74999999995,6642.81297221,6911.582853687517
2018-07-12 00:00:00 UTC,4727.5241,24900.69541596,4170.99525157998,2238.48845197,8821.13128587,10850.7097870499,3131.4859419399,9205.71999999994,8775.18329832,7913.5512925855055
2018-07-13 00:00:00 UTC,5138.8699,20013.38395114,3546.48427134,2289.25093673,6849.55514481,7110.12567689996,1035.7470358933,8784.38999999996,7147.03432759,6388.84839621241
2018-07-14 00:00:00 UTC,5078.5206,8900.09618092998,1894.5225969,1453.61766731,2881.37703214,3559.95061042999,488.7263038046,9178.15999999997,2921.70173196,3804.682518231938
2018-07-15 00:00:00 UTC,5061.9124,10984.93014125,2112.1555157,1324.31879994,3877.87411293,4405.94031011001,904.841343158,8310.47999999999,5267.8871768,3522.2826719104232
2018-07-16 00:00:00 UTC,5082.5729,30613.5913836201,8567.29262516986,4943.42404647,11979.44292794,12544.7975178899,2858.4089633132,10581.18,11568.09777617,9041.395172755008
2018-07-17 00:00:00 UTC,6021.8128,47596.4987145908,11199.2524072499,4174.50791739,14863.78899845,18532.0992326602,4768.208153132,9551.11999999994,14596.14874504,15608.599026023483
2018-07-18 00:00:00 UTC,5103.0616,39555.2892963502,9940.65776376988,4786.88521615,14972.38832133,18628.3257356998,4611.2748362184,9426.46999999995,12645.58981035,13992.81524367565
